,suhu udara,kelembaban udara,suhu tanah,kelembaban tanah,cahaya,arus solar,arus aki,tegangan solar,tegangan aki,status
0,28.38,60,39.42,189,15204,0.233,0.167,104.61,100.22,mendung siram
1,28.79,63,33.11,190,15575,0.237,0.134,107.57,103.02,mendung siram
2,28.18,68,33.79,192,16759,0.243,0.168,104.16,97.05,mendung siram
3,28.22,62,31.01,189,15465,0.227,0.207,107.59,107.63,mendung siram
4,28.69,66,33.03,195,15353,0.226,0.127,103.07,94.29,mendung siram
5,28.98,63,38.28,192,15469,0.231,0.185,103.04,95.08,mendung siram
6,28.01,63,38.09,193,15312,0.235,0.207,105.11,107.74,mendung siram
7,29.06,69,36.17,185,16540,0.242,0.163,107.65,95.3,mendung siram
8,28.07,64,31.42,185,15242,0.242,0.201,103.03,107.22,mendung siram
9,28.5,63,38.58,191,15737,0.238,0.209,105.04,107.05,mendung siram
10,28.11,66,38.79,195,14657,0.241,0.153,103.75,100.14,mendung siram
11,29.34,60,32.97,190,14467,0.239,0.146,105.03,98.78,mendung siram
12,28.26,65,36.14,195,16170,0.241,0.151,105.42,104.69,mendung siram
13,29.19,62,32.68,190,15639,0.24,0.149,107.69,95.93,mendung siram
14,28.96,62,36.9,189,16349,0.234,0.186,104.94,98.43,mendung siram
15,28.8,69,38.5,186,15292,0.242,0.207,105.2,107.11,mendung siram
16,29.23,67,35.08,195,15506,0.23,0.148,107.35,99.4,mendung siram
17,28.1,66,32.35,193,15348,0.235,0.161,105.24,105.36,mendung siram
18,29.46,67,37.01,186,14440,0.242,0.206,105.09,100.82,mendung siram
19,28.25,66,34.2,189,14979,0.234,0.173,105.51,99.77,mendung siram
20,29.03,64,31.35,191,16531,0.235,0.189,106.25,103.96,mendung siram
21,28.69,67,35.13,193,15329,0.227,0.159,103.6,95.24,mendung siram
22,29.08,61,39.45,191,15724,0.239,0.171,107.61,99.54,mendung siram
23,28.5,69,31.01,185,16422,0.243,0.14,106.17,102.95,mendung siram
24,29.06,65,38.3,193,14489,0.229,0.197,107.73,95.03,mendung siram
25,29.19,64,35.53,195,14054,0.241,0.206,106.79,95.8,mendung siram
26,28.17,65,36.99,192,16038,0.242,0.144,106.63,98.62,mendung siram
27,28.81,65,36.21,194,16625,0.234,0.143,107.61,95.47,mendung siram
28,29.31,62,38.86,191,15611,0.232,0.14,105.75,99.92,mendung siram
29,29.24,60,34.17,189,14119,0.228,0.145,104.2,94.99,mendung siram
30,28.42,69,35.65,186,14439,0.227,0.139,107.77,102.18,mendung siram
31,28.72,65,31.01,191,15267,0.235,0.143,102.93,101.34,mendung siram
32,29.25,60,32.02,193,15137,0.225,0.166,106.25,105.88,mendung siram
33,28.05,61,35.59,186,14900,0.236,0.195,103.54,103.39,mendung siram
34,28.13,66,37.68,186,14886,0.236,0.139,103.25,99.74,mendung siram
35,28.87,61,35.4,185,15062,0.237,0.209,107.3,98.06,mendung siram
36,29.2,65,37.71,188,14080,0.231,0.177,106.9,107.33,mendung siram
37,28.04,68,38.18,190,16544,0.235,0.156,107.0,104.86,mendung siram
38,28.64,62,36.07,188,15414,0.237,0.2,105.26,97.88,mendung siram
39,29.1,65,33.68,192,16345,0.227,0.135,103.68,105.76,mendung siram
40,29.39,68,36.0,189,14333,0.242,0.181,104.9,106.0,mendung siram
41,28.7,62,39.4,194,15869,0.227,0.159,105.05,104.78,mendung siram
42,28.82,61,39.25,192,14393,0.231,0.127,107.29,97.89,mendung siram
43,28.62,63,32.24,190,16672,0.23,0.162,105.76,94.44,mendung siram
44,28.18,60,36.59,187,14253,0.242,0.187,103.78,99.22,mendung siram
45,28.85,62,33.37,194,16638,0.225,0.205,104.83,97.98,mendung siram
46,28.41,60,36.47,186,16040,0.232,0.202,102.93,99.09,mendung siram
47,29.22,67,31.83,185,16641,0.241,0.136,106.02,94.12,mendung siram
48,28.82,61,38.77,191,16055,0.242,0.169,104.52,97.56,mendung siram
49,28.43,68,38.56,185,16024,0.234,0.152,104.82,105.38,mendung siram
50,28.86,65,33.75,188,14987,0.24,0.195,105.12,106.42,mendung siram
51,28.8,67,35.63,186,15418,0.229,0.205,106.68,101.73,mendung siram
52,28.39,60,39.5,185,15595,0.231,0.197,103.49,104.08,mendung siram
53,28.63,65,31.1,186,14158,0.241,0.159,103.94,106.68,mendung siram
54,28.78,68,36.75,194,15057,0.238,0.209,107.18,102.73,mendung siram
55,29.27,66,34.81,186,15499,0.232,0.176,104.23,106.13,mendung siram
56,28.12,61,38.53,193,14245,0.242,0.192,106.51,94.34,mendung siram
57,28.48,63,35.49,190,14219,0.23,0.161,107.6,99.63,mendung siram
58,28.94,65,38.18,194,15694,0.227,0.152,105.0,97.41,mendung siram
59,28.73,65,33.88,195,16426,0.23,0.163,103.1,97.01,mendung siram
60,28.42,69,36.46,185,14999,0.241,0.175,102.79,98.91,mendung siram
61,29.46,66,34.14,186,14245,0.225,0.139,104.07,102.53,mendung siram
62,28.36,68,33.38,186,16403,0.243,0.182,103.5,96.25,mendung siram
63,28.9,68,35.06,195,14999,0.243,0.16,104.89,97.92,mendung siram
64,29.0,60,35.06,187,15923,0.242,0.167,105.59,97.98,mendung siram
65,29.49,62,35.7,186,16183,0.229,0.141,105.49,97.38,mendung siram
66,28.42,65,36.84,186,16274,0.231,0.133,103.57,107.72,mendung siram
67,29.47,67,31.52,187,14872,0.233,0.185,107.1,100.97,mendung siram
68,28.88,61,35.39,186,14467,0.232,0.203,104.07,102.79,mendung siram
69,29.38,68,33.71,186,14840,0.232,0.127,106.23,96.67,mendung siram
70,28.61,70,34.9,186,14978,0.241,0.136,104.59,95.36,mendung siram
71,29.06,62,35.21,189,15907,0.243,0.139,105.16,98.5,mendung siram
72,29.36,65,32.08,194,14397,0.227,0.193,104.32,103.33,mendung siram
73,28.59,66,32.4,185,14463,0.23,0.195,107.49,97.65,mendung siram
74,28.47,69,38.28,187,16571,0.225,0.174,107.68,105.52,mendung siram
75,28.86,69,32.15,194,15025,0.225,0.161,106.32,98.03,mendung siram
76,28.47,65,33.02,191,14947,0.233,0.182,105.23,105.08,mendung siram
77,28.42,60,35.95,194,16413,0.24,0.161,104.26,105.38,mendung siram
78,29.02,60,39.11,195,15654,0.232,0.15,106.24,98.61,mendung siram
79,28.3,61,31.21,185,14501,0.239,0.174,107.68,101.65,mendung siram
80,29.07,68,38.25,190,15224,0.232,0.147,104.89,96.05,mendung siram
81,28.22,70,35.28,189,16054,0.228,0.175,107.79,101.99,mendung siram
82,28.71,68,36.61,191,14187,0.24,0.131,106.91,97.76,mendung siram
83,28.88,60,35.31,185,16228,0.239,0.197,105.45,102.17,mendung siram
84,29.36,68,37.53,194,16522,0.242,0.15,105.5,107.49,mendung siram
85,28.37,69,37.88,188,16717,0.232,0.149,105.78,96.72,mendung siram
